unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount,EMA,SMA,RSI
1646697600000,3/8/2022 00:00,BTC/USDT,37988.01,39362.08,37867.65,38730.63,55528.43367,2147541838,1269742,40354.46042,39909.00857,45.22619233
1646784000000,3/9/2022 00:00,BTC/USDT,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240841,1570230,40038.93237,39944.74429,54.54703368
1646870400000,3/10/2022 00:00,BTC/USDT,41941.7,42039.63,38539.73,39422,71950.25677,2853792081,1512384,39864.49205,40279.86571,47.68920843
1646956800000,3/11/2022 00:00,BTC/USDT,39422.01,40236.26,38223.6,38729.57,59018.7642,2305825016,1252571,40141.45444,40358.065,45.9784845
1647043200000,3/12/2022 00:00,BTC/USDT,38729.57,39486.71,38660.52,38807.36,24034.36432,939663387.3,671733,40045.52719,40323.09357,46.21192618
1647129600000,3/13/2022 00:00,BTC/USDT,38807.35,39310,37578.51,37777.34,32791.82359,1268441605,841844,39870.06623,40300.99643,43.52965073
1647216000000,3/14/2022 00:00,BTC/USDT,37777.35,39947.12,37555,39671.37,46945.45375,1821922588,1114899,39728.37206,40306.58714,49.35126932
1647302400000,3/15/2022 00:00,BTC/USDT,39671.37,39887.61,38098.33,39280.33,46015.54926,1796571984,1060517,39468.23446,40057.39929,48.24541396
1647388800000,3/16/2022 00:00,BTC/USDT,39280.33,41718,38828.48,41114,88120.76167,3552563766,2051837,39495.31919,39690.19429,53.50651648
1647475200000,3/17/2022 00:00,BTC/USDT,41114.01,41478.82,40500,40917.9,37189.38087,1521083190,935784,39466.65397,39491.69571,52.88733113
1647561600000,3/18/2022 00:00,BTC/USDT,40917.89,42325.02,40135.04,41757.51,45408.00969,1862337033,1065054,39686.30011,39381.97429,55.27382565
1647648000000,3/19/2022 00:00,BTC/USDT,41757.51,42400,41499.29,42201.13,29067.18108,1216709156,801197,39850.51343,39568.32071,56.5268571
1647734400000,3/20/2022 00:00,BTC/USDT,42201.13,42296.26,40911,41262.11,30653.33468,1273880705,799695,40104.77964,39768.54714,53.1335919
1647820800000,3/21/2022 00:00,BTC/USDT,41262.11,41544.22,40467.94,41002.25,39426.24877,1618789548,947206,40384.29302,39971.49714,52.19973457
1647907200000,3/22/2022 00:00,BTC/USDT,41002.26,43361,40875.51,42364.13,59454.94294,2525975508,1367343,40501.33528,40186.80071,56.51344016
1647993600000,3/23/2022 00:00,BTC/USDT,42364.13,43025.96,41751.47,42882.76,40828.87039,1725787171,916671,40568.12391,40446.33643,58.06545409
1648080000000,3/24/2022 00:00,BTC/USDT,42882.76,44220.89,42560.46,43991.46,56195.12374,2436258224,1202541,40807.59139,40513.55429,61.24936212
1648166400000,3/25/2022 00:00,BTC/USDT,43991.46,45094.14,43579,44313.16,54614.43648,2421153188,1141588,41084.28054,40839.94429,62.14742287
1648252800000,3/26/2022 00:00,BTC/USDT,44313.16,44792.99,44071.97,44511.27,23041.61741,1022802858,693647,41471.90447,41238.77214,62.72040109
1648339200000,3/27/2022 00:00,BTC/USDT,44511.27,46999,44421.46,46827.76,41874.91071,1907019662,1135096,41850.73854,41646.19429,68.68872205
1648425600000,3/28/2022 00:00,BTC/USDT,46827.76,48189.84,46663.56,47122.21,58949.2614,2789898403,1498975,42205.47607,42292.65286,69.36020139
1648512000000,3/29/2022 00:00,BTC/USDT,47122.21,48096.47,46950.85,47434.8,36772.28457,1748600385,1095678,42821.78059,42824.85571,70.09344199
1648598400000,3/30/2022 00:00,BTC/USDT,47434.79,47700.22,46445.42,47067.99,40947.2085,1932152560,1081607,43395.17118,43407.31786,68.03589636
1648684800000,3/31/2022 00:00,BTC/USDT,47067.99,47600,45200,45510.34,48645.12667,2262485161,1290541,43933.78835,43832.60286,59.98362842
1648771200000,4/1/2022 00:00,BTC/USDT,45510.35,46720.09,44200,46283.49,56271.06474,2556532891,1372216,44351.68191,44160.63429,62.36460513
1648857600000,4/2/2022 00:00,BTC/USDT,46283.49,47213,45620,45811,37073.53582,1721690754,1056716,44506.16965,44483.91857,60.01450059
1648944000000,4/3/2022 00:00,BTC/USDT,45810.99,47444.11,45530.92,46407.35,33394.67794,1550999693,966563,44743.1457,44741.76643,61.96277922
1649030400000,4/4/2022 00:00,BTC/USDT,46407.36,46890.71,45118,46580.51,44641.87514,2053434524,1171998,44885.52627,45109.28357,62.53362819
1649116800000,4/5/2022 00:00,BTC/USDT,46580.5,47200,45353.81,45497.55,42192.74852,1951668193,1046080,45088.4361,45507.73071,56.79303176
1649203200000,4/6/2022 00:00,BTC/USDT,45497.54,45507.14,43121,43170.47,60849.32936,2700644701,1471912,45287.37929,45731.54643,46.84210794
1649289600000,4/7/2022 00:00,BTC/USDT,43170.47,43900.99,42727.35,43444.19,37396.54156,1623879487,999816,45315.40205,45752.09714,47.99631147
1649376000000,4/8/2022 00:00,BTC/USDT,43444.2,43970.62,42107.14,42252.01,42375.04203,1830699972,1108136,45029.41111,45713.00643,43.55999563
1649462400000,4/9/2022 00:00,BTC/USDT,42252.02,42800,42125.48,42753.97,17891.66047,759274586.6,640230,44818.0483,45565.78143,45.83029449
1649548800000,4/10/2022 00:00,BTC/USDT,42753.96,43410.3,41868,42158.85,22771.09403,971459737.5,678983,44475.90986,45440.26,43.59148188
1649635200000,4/11/2022 00:00,BTC/USDT,42158.85,42414.71,39200,39530.45,63560.44721,2602039073,1385924,44246.31788,45106.76643,35.37273918
1649721600000,4/12/2022 00:00,BTC/USDT,39530.45,40699,39254.63,40074.94,57751.01778,2309514072,1153667,43967.98883,44564.49786,37.98134943
